#Artery,<Nx>,<L> [cm],<rho> [g/cm^3],<Solver>,<Order>,<HR>
0,5,3.50000000000000000000,1.00000000000000000000,KIN_HAT,2.000000,HRQ
1,170,80.00000000000000000000,1.00000000000000000000,KIN_HAT,2.000000,HRQ
2,5,2.00000000000000000000,1.00000000000000000000,KIN_HAT,2.000000,HRQ
3,140,67.50000000000000000000,1.00000000000000000000,KIN_HAT,2.000000,HRQ
4,5,4.00000000000000000000,1.00000000000000000000,KIN_HAT,2.000000,HRQ
5,150,71.00000000000000000000,1.00000000000000000000,KIN_HAT,2.000000,HRQ
6,115,47.00000000000000000000,1.00000000000000000000,KIN_HAT,2.000000,HRQ
7,75,36.50000000000000000000,1.00000000000000000000,KIN_HAT,2.000000,HRQ
8,75,36.50000000000000000000,1.00000000000000000000,KIN_HAT,2.000000,HRQ
